Sno,Name,Starcast,Year
1,Bajrangi Bhaijaan,"Salmaan Khan, Harshaali Malhotra",2015
2,Bajirao Mastani,"Ranveer Singh, Deepika Padukone",2015
3,Gabbar is Back,"Akshay Kumar, Shruti Hasan",2015
4,Welcome Back,"Anil Kapoor, Nana Patekar",2015
5,Dolly ki Doli,"Malaika Arora, Karan Ashar",2015
6,Main Tera Hero,"Varun Dhawan, Ileana D'souza",2014
7,Singham Returns,"Ajay Devgn, Kareena Kapoor",2014
8,Chennai Express,"Shahrukh Khan, Deepika Padukone",2014
9,Grand Masti,"Vivek Oberoi, Karishma Tanna",2013
10,Go Goa Gone,"Saif Ali Khan, Anand Tiwari",2013
11,Madras Café,"John Abraham, Nargis Fakhri",2013
12,Ek Tha Tiger,"Salman Khan, Katrina Kaif",2012
13,Bol Bachchan,"Amitabh Bachchan, Ajay Devgn",2012
14,Hate Story,"Nikhil Dwivedi, Paoli Dam",2012
15,Double Dhamaal,"Sanjay  Dutt, Arshad Warsi",2011
16,Patiala House,"Rishi Kapoor, Dimple Kapadia",2011
17,Paying Guest,"Shreya Talpade, Javed Jaffrey",2009
18,Mary Kom,"Priyanka Chopra, Sunil Tapa",2014
19,Bhool Bhulaiya,"Akshay Kumar, Vidya Balan",2007
20,Namastey London,"Akshay Kumar, Rishi Kapoor",2007
21,Bhagam Bhag,"Akshay Kumar, Govinda",2006
22,Malamal Weekly,"Paresh Rawal, Om Puri",2006
23,Dil ka Rishta,"Arjun Rampal, Rakhee Gulzar",2003
24,Raja Hindustani,"Aamir Khan, Karishma Kapoor",1996
25,Mohenjo Daro,"Hrithik Roshan, Pooja Hegde",2016
26,Namaste England,"Arjun Kapoor, Parineeti Chopra",2018
27,Laila Majnu,"Trpiti Dimri, Avinash Tiwary",2018
28,Satyamev Jayate,"John Abraham, Manoj Bajpai",2018
29,Fanney Khan,"Anil Kapoor, Divya Dutt",2018
30,Veere di Wedding,"Kareena Kapoor, Sonam Kapor",2018
