Sno,Name,Starcast,Year
1,Airlift,"Akshay Kumar, Nimrit Kaur",2016
2,Azhar,"Emraan Hashmi, Nargis Fakhri",2016
3,Baby,"Akshay Kumar, Tapsee Pannu",2015
4,Dilwale,"Shahrukh Khan, Kajol",2015
5,Baahubali,"Prabhas, Rana Daggubati",2015
6,Hunterrr,"Gulshan Devaiah, Radhika Apte",2015
7,Drishyam,"Ajay Devgn, Tabu",2015
8,Brothers,Akshay Kumar Siddharth Malhotra,2015
9,Kick,"Salman Khan, Randeep Hooda",2014
10,Holiday,"Akshay Kumar, Sonakshi Sinha",2014
11,Raanjhanaa,"Dhanush, Sonam Kapoor",2013
12,ABCD,"Prabhu Deva, Ganesh Acharya",2013
13,Talaash,"Aamir Khan, Kareena Kapoor",2012
14,Chakravyuh,"Arjun Rampal, Abhay Deol",2012
15,Barfi,"Ranbir Kapoor, Priyanka Chopra",2012
16,Bodyguard,"Salman Khan, Kareena Kapoor",2011
17,FALTU,"Arshad Warsi, Jackkey Bhagnani",2011
18,Rockstar,"Ranbir Kapoor, Shammi Kapoor",2011
19,3 idiots,"Aamir Khan, Kareena Kapoor",2009
20,Ghajini,"Aamir Khan, Jiah Khan",2008
21,Welcome,"Akshay Kumar, Katrina Kaif",2007
22,Dhamaal,"Sanjay Dutt,  Arshad Warsi",2007
23,Vivah,"Shahid Kapoor, Amrita Rao",2006
24,Krrish,"Hrithik Roshan, Priyanka Chopra",2006
25,No Entry,"Anil Kapoor, Govinda",2005
26,Hungama,"Akshaye Khanna, Kimi Sen",2003
27,Junooniyat,"Pulkit Samrat, Yami Gautam",2016
28,Sultan,"Salman Khan, Anushka Sharma",2016
29,Madaari,"Irrfan Khan, Tushar Dalvi",2016
30,Shivaay,"Ajay Devgn, Erika Kaar",2016
