Sno,Name,Star Cast,Year
1,Jaws,"Roy Scheider, Robert Shaw",1975
2,Joker,"Joaquin Phoenix, Fances Conroy",2019
3,Glass,"Bruce Willis, Sarah Paulson",2019
4,Annihilation,"Natalie Portman, Gina Ro Driguenz",2018
5,Deadpool 2,"Ryan Reynolds, Zazie Beetz",2018
6,First man,"Ryan Gosling, Claire Foy",2018
7,Aquaman,"Jason Momoa, Amber Heard",2018
8,Black Panther,"Chadwick Boseman, Lupita Nyong'o",2018
9,Incredibles 2,"Holly Hunter, Brad Bird",2018
10,Venom,"Tom Hardy, Wood Harrelson",2018
11,Game Night,"Jason Batemam, Jesse Plemons",2018
12,Rampage,"Dwayne, Johnson, Naomie Harris",2018
13,Widows,"Viola Davis, Elizabeth Debicki",2018
14,Rocketman,"David Furnish, Taron Egerton",2019
15,Gemini Man,"Will Smith, Clive Owen",2019
16,Dumbo,"Collin Farrell, Eva Green",2019
17,Captain Marvel,"Brie Larson, Ben Meldelsohn",2019
18,The Irishman,"Joe Pesci, Al Pacino",2019
19,Inception,"Tom Hardy, Ellen Page",2010
20,Die Hard,"Bruce Willis, Alan Rickman",1980
21,Wall-E,"Ben Burtt, Elissa Knight",2008
22,Ghostbusters,"Bill Murray, Harold Ramis",1984
23,Avatar,"Sam Worthington, Zoe Saldana",2009
24,Amelie,Audrey Toutor,2001
25,Jurassic Park,"Sam Neill, Laura Dern",1993
26,Titanic,"Leonardo Di Caprio, Kate Winslet",1997
27,Toy Story,"Tom Hanks, Tim Allen",1995
28,Gladiator,"Russell Crowe, Oliver Reed",2000
29,Iron Man ,"Rober Downey, Gwyneth Paltrow",2008
30,Sherlock Holmes,"Robert Downey, Mark Strong",2009
